result_type,data_scope,method,W,latent_dim,compression_ratio_mean,cr_int8_estimated,encode_ms_mean,decode_ms_mean,mae_mean,rmse_mean,worst_abs_error,model_size_kb,safe_pass,safety_rejected_reason,notes
learned_compression,eps_only,fc_ae,8,32,3.25,13.0,0.3598,0.32425333,1.38826907,3.62286925,48.49735641,512.564,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,32,3.25,13.0,0.28370667,0.28148667,1.3562721,3.21026039,43.32958984,512.564,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,32,3.25,13.0,0.32365,0.31034667,1.56069195,4.09967279,49.78885651,512.564,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,4,26.0,104.0,0.23597,0.22782,1.77291393,4.10732841,36.93613815,489.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,4,26.0,104.0,0.24784,0.24185333,1.63134253,3.68380904,43.46882629,489.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,4,26.0,104.0,0.23501667,0.22702667,1.64649725,3.50333238,35.09241867,489.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,8,13.0,52.0,0.3006,0.26714333,1.73092604,3.91548491,35.79203415,493.002,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,8,13.0,52.0,0.29479333,0.29889333,1.59401548,3.41764951,33.92998123,493.002,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,8,13.0,52.0,0.29191,0.28164667,1.59038067,3.58677268,34.81250763,493.002,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,16,6.5,26.0,0.24938,0.26002333,1.7393496,4.2307744,58.55846405,499.502,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,16,6.5,26.0,0.26704,0.26609,1.63569069,3.73572183,47.35748672,499.502,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,16,6.5,26.0,0.32236667,0.30198333,1.62054181,3.64328408,36.55220795,499.502,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,32,3.25,13.0,0.29516333,0.28312,1.38826907,3.62286925,48.49735641,512.564,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,32,3.25,13.0,0.31094667,0.3038,1.3562721,3.21026039,43.32958984,512.564,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,8,32,3.25,13.0,0.28139667,0.27557667,1.56069195,4.09967279,49.78885651,512.564,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,4,26.0,104.0,0.86069,0.774,1.61100626,3.36178303,35.38549805,240.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,4,26.0,104.0,0.75255667,0.74784333,1.85872507,4.23517704,48.50912476,240.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,4,26.0,104.0,0.77685,0.72634,1.76329303,3.76506853,35.64593887,240.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,8,13.0,52.0,1.07996333,0.82712667,1.70108199,3.68492985,37.6921196,253.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,8,13.0,52.0,0.84908667,0.88114,1.79589689,3.97002912,63.35416794,253.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,8,13.0,52.0,0.74991333,0.86572667,1.54437017,3.3178215,34.87439728,253.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,16,6.5,26.0,0.78182667,0.79812,1.70761085,3.86792707,35.74813843,279.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,16,6.5,26.0,0.76094667,0.76140333,1.72105992,3.99523306,43.60620117,279.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,16,6.5,26.0,0.79936,0.79381,1.64263248,3.52874947,30.06116486,279.377,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,32,3.25,13.0,1.04582,0.88003333,1.46517611,4.85543299,65.95467377,331.439,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,32,3.25,13.0,0.97218,0.95938333,1.53059852,4.79964828,48.68363571,331.439,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,tcn_ae,8,32,3.25,13.0,0.78463667,0.85816667,1.40806389,3.99823189,43.24185562,331.439,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,4,52.0,208.0,0.37486667,0.43126333,1.69853246,3.66550851,34.50992584,756.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,4,52.0,208.0,0.36499333,0.35759333,1.60304964,3.42776132,35.14479828,756.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,4,52.0,208.0,0.38782667,0.36401667,1.59514272,3.40667772,34.45800018,756.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
